#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:29:42 AM ",AI behavior,Listening strategy,Question-asking ,"Morning! Hope you slept well, what's on your mind today?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:30:08 AM",Self-disclosure,Level of disclosure,Low,Just woke from a nightmare,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:30:08 AM",Self-disclosure,Disclosure as confession,No,Just woke from a nightmare,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:30:08 AM",Self-disclosure,Temporality,Now,Just woke from a nightmare,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:33:50 AM",AI behavior,Listening strategy,Sympathetic responsiveness,That sounds really tough. Feeling trapped in a difficult situation can be overwhelming. Was there anything specific about that setting that stood out to you in the nightmare?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:34:03 AM",Self-disclosure,Level of disclosure,High, I woke up in tears of failure and despair,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:34:03 AM",Self-disclosure,Depth of disclosure,Central layer, I woke up in tears of failure and despair,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:34:03 AM",Self-disclosure,Initmacy of self-disclosure,Core layer, I woke up in tears of failure and despair,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:34:03 AM",Self-disclosure,Disclosure as confession,No, I woke up in tears of failure and despair,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 8:34:03 AM",Self-disclosure,Temporality,Past, I woke up in tears of failure and despair,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:22:09 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Your past experiences can shape how you perceive certain situations, even in dreams. It might be helpful to acknowledge and process those underlying emotions in your waking life.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:16 AM",Self-disclosure,Level of disclosure,High,"I think the dream was a reflection of a toxic relationship I’m trying to leave. I want to go and she doesn’t recognize how many bad things she’s caused, despite me telling her in multiple ways",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:16 AM",Self-disclosure,Depth of disclosure,Central layer,"I think the dream was a reflection of a toxic relationship I’m trying to leave. I want to go and she doesn’t recognize how many bad things she’s caused, despite me telling her in multiple ways",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:16 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,"I think the dream was a reflection of a toxic relationship I’m trying to leave. I want to go and she doesn’t recognize how many bad things she’s caused, despite me telling her in multiple ways",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:16 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","I think the dream was a reflection of a toxic relationship I’m trying to leave. I want to go and she doesn’t recognize how many bad things she’s caused, despite me telling her in multiple ways",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:32 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","It sounds like the dream was a manifestation of your own fears and anxieties about the situation. Staying in a toxic relationship can be incredibly draining, especially when the other person refuses to acknowledge the harm they're causing. Have you considered seeking support from friends, family, or a professional counselor to help you navigate this?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:32 AM",AI behavior,Listening strategy,Question-asking ,"It sounds like the dream was a manifestation of your own fears and anxieties about the situation. Staying in a toxic relationship can be incredibly draining, especially when the other person refuses to acknowledge the harm they're causing. Have you considered seeking support from friends, family, or a professional counselor to help you navigate this?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:26:32 AM",AI behavior,Support type,Functional,"It sounds like the dream was a manifestation of your own fears and anxieties about the situation. Staying in a toxic relationship can be incredibly draining, especially when the other person refuses to acknowledge the harm they're causing. Have you considered seeking support from friends, family, or a professional counselor to help you navigate this?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:27:58 AM",Self-disclosure,Level of disclosure,High ,I’m on a wait list for individual therapy and couples therapy is/was a failure because of her and the therapist,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:27:58 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I’m on a wait list for individual therapy and couples therapy is/was a failure because of her and the therapist,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:28:15 AM",AI behavior,Listening strategy,Perspective-taking,"Being on a wait list can be frustrating, but it sounds like individual therapy could be beneficial for you. Sorry to hear that couples therapy wasn't successful - it's disappointing when both parties aren't willing to work towards improvement, especially when there's a neutral third party facilitating the process.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:28:15 AM",AI behavior,Listening strategy,Sympathetic responsiveness,"Being on a wait list can be frustrating, but it sounds like individual therapy could be beneficial for you. Sorry to hear that couples therapy wasn't successful - it's disappointing when both parties aren't willing to work towards improvement, especially when there's a neutral third party facilitating the process.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:42:36 AM",Self-disclosure,Level of disclosure,High,"The therapist doesn’t seem qualified enough to handle the situation. The other person in the relationship seems to refuse to see their part and/or be accountable in anything I tell her. I’m stuck, for now, which can be very painful at times. Other times I can cope. I just wish the situation was where we don’t have to see each other at all.",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:42:36 AM",Self-disclosure,Depth of disclosure,Central layer,"The therapist doesn’t seem qualified enough to handle the situation. The other person in the relationship seems to refuse to see their part and/or be accountable in anything I tell her. I’m stuck, for now, which can be very painful at times. Other times I can cope. I just wish the situation was where we don’t have to see each other at all.",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:42:36 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","The therapist doesn’t seem qualified enough to handle the situation. The other person in the relationship seems to refuse to see their part and/or be accountable in anything I tell her. I’m stuck, for now, which can be very painful at times. Other times I can cope. I just wish the situation was where we don’t have to see each other at all.",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:42:46 AM",AI behavior,Listening strategy,Question-asking , It sounds like you're feeling frustrated and stuck in a difficult situation. Not having control over the dynamics of the relationship can be really challenging. Is there anything about the relationship that you're holding onto that makes it hard for you to completely disconnect from her?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:42:46 AM",AI behavior,Listening strategy,Sympathetic responsiveness, It sounds like you're feeling frustrated and stuck in a difficult situation. Not having control over the dynamics of the relationship can be really challenging. Is there anything about the relationship that you're holding onto that makes it hard for you to completely disconnect from her?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:44:40 AM",Self-disclosure,Level of disclosure,High ,I’m financially stuck living with her at this time and it’s going to be a little while until I can move out since she refuses to leave and I can’t legally make her leave yet,Current life challenges,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:44:40 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I’m financially stuck living with her at this time and it’s going to be a little while until I can move out since she refuses to leave and I can’t legally make her leave yet,Current life challenges,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:44:40 AM",Self-disclosure,Level of disclosure,High ,I’m financially stuck living with her at this time and it’s going to be a little while until I can move out since she refuses to leave and I can’t legally make her leave yet,Financial struggles,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:44:40 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I’m financially stuck living with her at this time and it’s going to be a little while until I can move out since she refuses to leave and I can’t legally make her leave yet,Financial struggles,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:45:41 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Planning ahead can give you a sense of control and hope for a better future. What are your top priorities for when you can move out and start fresh?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:45:41 AM",AI behavior,Listening strategy,Question-asking ,Planning ahead can give you a sense of control and hope for a better future. What are your top priorities for when you can move out and start fresh?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:48:16 AM ",Self-disclosure,Level of disclosure,Low,Financial and emotional stability,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:48:16 AM ",Self-disclosure,Depth of disclosure,Central layer,Financial and emotional stability,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:48:16 AM ",Self-disclosure,Disclosure as confession,No,Financial and emotional stability,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:48:30 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Achieving financial stability will likely bring a sense of relief, and emotional stability will allow you to heal and move forward. Have you thought about what emotional stability means to you and what steps you can take to cultivate it?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:48:30 AM",AI behavior,Listening strategy,Question-asking ,"Achieving financial stability will likely bring a sense of relief, and emotional stability will allow you to heal and move forward. Have you thought about what emotional stability means to you and what steps you can take to cultivate it?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:50:45 AM",Self-disclosure,Level of disclosure,Low,little bit. I know I need some peace to ge A t my thoughts together. I’ll need to develop some daily routines and focus on mindfulness and undoing the damage this relationship has caused.,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:50:45 AM",Self-disclosure,Depth of disclosure,Central layer,little bit. I know I need some peace to ge A t my thoughts together. I’ll need to develop some daily routines and focus on mindfulness and undoing the damage this relationship has caused.,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:50:45 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,little bit. I know I need some peace to ge A t my thoughts together. I’ll need to develop some daily routines and focus on mindfulness and undoing the damage this relationship has caused.,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:50:45 AM",Self-disclosure,Disclosure as confession,No,little bit. I know I need some peace to ge A t my thoughts together. I’ll need to develop some daily routines and focus on mindfulness and undoing the damage this relationship has caused.,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:51:00 AM",AI behavior,Listening strategy,Perspective-taking,"Developing daily routines and focusing on mindfulness can really help you find calm and clarity. Undoing the damage from a toxic relationship takes time, but it sounds like you're on the right track by acknowledging what you need to heal.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:51:00 AM",AI behavior,Listening strategy,Sympathetic responsiveness,"Developing daily routines and focusing on mindfulness can really help you find calm and clarity. Undoing the damage from a toxic relationship takes time, but it sounds like you're on the right track by acknowledging what you need to heal.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:55:20 AM ",Self-disclosure,Level of disclosure,High," I also don’t want to jump into any serious romantic relationships. This may sound backwards, but I only want a friend with benefits if anything.  I’m kinda scared to be alone, but acknowledge the need for it. Sometimes I think to myself how old I’ve become with little to show for it, outside of being a decent parent and a decent person. I worry about my dating chances too. I tell myself, “who’s going to want me at this age…”",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/4/2025, 10:55:20 AM ",Self-disclosure,Depth of disclosure,Central layer," I also don’t want to jump into any serious romantic relationships. This may sound backwards, but I only want a friend with benefits if anything.  I’m kinda scared to be alone, but acknowledge the need for it. Sometimes I think to myself how old I’ve become with little to show for it, outside of being a decent parent and a decent person. I worry about my dating chances too. I tell myself, “who’s going to want me at this age…”",Causal conversation,Causal exchange
